,id,brand,categories,dateAdded,dateUpdated,ean,keys,manufacturer,manufacturerNumber,name,reviews.date,reviews.dateAdded,reviews.dateSeen,reviews.didPurchase,reviews.doRecommend,Content_ID,reviews.numHelpful,rating,reviews.sourceURLs,reviews.text,reviews.title,reviews.userCity,reviews.userProvince,reviews.username,upc,User_ID,rating_per_user
3,AV16khLE-jtxr-f38VFn,K-Y,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants",2017-07-25T16:26:19Z,2018-02-05T11:25:51Z,67981934427,"kylovesensualitypleasuregel/b00u2whx8s,067981934427,0067981934427,kylovesensualitypleasuregel/553550989,kylovesensualitypleasuregel/b014gk947e,ky/067981934427",K-Y,67981934427,K-Y Love Sensuality Pleasure Gel,2016-01-06T00:00:00.000Z,2017-09-11T17:13:57Z,"2017-09-04T12:18:00.000Z,2017-08-09T02:12:00.000Z",False,False,113026909.0,,1,https://www.walmart.com/reviews/product/43383370,"I read through the reviews on here before looking in to buying one of the couples lubricants, and was ultimately disappointed that it didn't even live up to the reviews I had read. For starters, neither my boyfriend nor I could notice any sort of enhanced or 'captivating' sensation. What we did notice, however, was the messy consistency that was reminiscent of a more liquid-y vaseline. It was difficult to clean up, and was not a pleasant, especially since it lacked the 'captivating' sensation we had both been expecting. I'm disappointed that I paid as much as I did for a lube that I won't use again, when I could just use their normal personal lubricant for 1) less money and 2) less mess.",Disappointed,,,Rebecca,67981934427,13356,6
14,AV16khLE-jtxr-f38VFn,K-Y,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants",2017-07-25T16:26:19Z,2018-02-05T11:25:51Z,67981934427,"kylovesensualitypleasuregel/b00u2whx8s,067981934427,0067981934427,kylovesensualitypleasuregel/553550989,kylovesensualitypleasuregel/b014gk947e,ky/067981934427",K-Y,67981934427,K-Y Love Sensuality Pleasure Gel,2016-01-09T00:00:00.000Z,2017-09-11T17:13:57Z,"2017-09-04T12:18:00.000Z,2017-08-09T02:12:00.000Z",False,False,114599277.0,,1,https://www.walmart.com/reviews/product/43383370,First time purchase of this type of product. Maybe I expected too much. Did not think there was any warming feeling at all. Left us sticky! Even after trying to was it off.,Disappointed,,,Nicole,67981934427,12078,7
26,AV16khLE-jtxr-f38VFn,K-Y,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants",2017-07-25T16:26:19Z,2018-02-05T11:25:51Z,67981934427,"kylovesensualitypleasuregel/b00u2whx8s,067981934427,0067981934427,kylovesensualitypleasuregel/553550989,kylovesensualitypleasuregel/b014gk947e,ky/067981934427",K-Y,67981934427,K-Y Love Sensuality Pleasure Gel,2015-11-04T00:00:00.000Z,2017-09-11T17:13:57Z,"2017-09-04T12:18:00.000Z,2017-08-09T02:12:00.000Z",False,True,108032208.0,,5,https://www.walmart.com/reviews/product/43383370,Awesome Product for couples. It is a warm feeling lubricant and not sticky like a lot of other lubricants.It is very easy to clean up after use.I will absolutely be purchasing more in the future. I received this product free for the purpose to give my review..Opinions are 100 my own!,Great Product!,,,Karen,67981934427,7921,6
41,AV1h6Gu0glJLPUi8IjA_,Johnson's,"Personal Care,Baby Care,Baby Bubble Bath,Baby,Bath & Potty,Toiletries,Bubble Bath,Baby Bath,Bath & Body,Body Wash & Cleansers",2017-07-20T21:30:08Z,2018-02-05T11:30:05Z,3.81371E+11,"johnsonsbabybubblebathwash15oz/b00572z3z8,381371021253,johnsonsbabybubblebathwash15oz/002609841,johnsonsbabybubblebathwash15oz/b0029epw3k,johnsons/13682029,0381371021253",Johnson's,13682029,"Johnson's Baby Bubble Bath and Wash, 15oz",2012-08-30T00:00:00.000Z,2017-08-07T17:31:31Z,"2017-08-05T05:32:00.000Z,2017-08-02T09:06:00.000Z",False,False,10012188.0,,1,https://www.walmart.com/reviews/product/16940619,My 8 month old baby got extremely irritated from this product after using for less than a week. I would like to get my money back.,Very bad reaction,,,An anonymous customer,3.81371E+11,805,421
49,AV1h6Gu0glJLPUi8IjA_,Johnson's,"Personal Care,Baby Care,Baby Bubble Bath,Baby,Bath & Potty,Toiletries,Bubble Bath,Baby Bath,Bath & Body,Body Wash & Cleansers",2017-07-20T21:30:08Z,2018-02-05T11:30:05Z,3.81371E+11,"johnsonsbabybubblebathwash15oz/b00572z3z8,381371021253,johnsonsbabybubblebathwash15oz/002609841,johnsonsbabybubblebathwash15oz/b0029epw3k,johnsons/13682029,0381371021253",Johnson's,13682029,"Johnson's Baby Bubble Bath and Wash, 15oz",2015-02-04T00:00:00.000Z,2017-08-07T17:31:31Z,"2017-08-05T05:32:00.000Z,2017-08-02T09:06:00.000Z",False,True,112389631.0,,4,https://www.walmart.com/reviews/product/16940619,Amazing product. My 3 years old loves her bubble baths.,Love it. Whats not to love!!,,,An anonymous customer,3.81371E+11,805,421
56,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2015-05-26T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:47:00.000Z,False,False,79523786.0,,1,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=28,"This cream did not do much for my face or throat area. I have gone back to my generic brand, it works better and is not as expensive. This review was collected as part of a promotion.",Gave it a Try,,,An anonymous customer,75609007408,805,421
101,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2015-05-26T00:00:00.000Z,2017-09-24T08:19:42Z,"2017-09-03T19:47:00.000Z,2017-09-03T19:46:00.000Z",False,True,79647012.0,,4,"https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=27,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=26",This is a wonderful product. The price is reasonable for a product that works as well as some expensive products. I like the results after using this cream. This review was collected as part of a promotion.,Great product,,,An anonymous customer,75609007408,805,421
184,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2017-01-04T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,141975158.0,,4,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=3,"I loved this product, it took yrs off , an blotches not so noticeable.... plus it left my face feeling so soft and smelling so .. good !! Thanks",9184047162,,,An anonymous customer,75609007408,805,421
185,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2016-12-31T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:46:00.000Z,False,True,141544765.0,,4,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=4,This is some great stuff for my face cuz I'm old and wrinkly and it makes me look younger I feel 31,Really works,,,An anonymous customer,75609007408,805,421
204,AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",2017-07-21T16:20:23Z,2018-02-05T11:28:34Z,75609007408,"075609007408,olayregeneristdeephydrationregeneratingcream/b00008zpg9,olayregenerist/10910247,olay/pr00740,olayregeneristdeephydratingcreammoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b00008zpg9,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/004661725,olayregeneristdeephydrationregeneratingcreamfacemoisturizer17floz/b013qne0iu,pg/10910247,0075609007408",P&G,10910247,Olay Regenerist Deep Hydration Regenerating Cream,2015-06-01T00:00:00.000Z,2017-09-24T08:19:42Z,2017-09-03T19:47:00.000Z,False,False,79884165.0,,5,https://www.walmart.com/reviews/product/10322150?limit=20&sort=relevancy&page=32,I like its rich dewy thick consistency. Great night cream - won't rub off on pillow! This review was collected as part of a promotion.,REGENERATING DEEP HYDRATION CREAM MOISTURIZER,,,An anonymous customer,75609007408,805,421
